,Borough,Postalcode,Neighbourhood,Latitude,Longitude
90,Scarborough,M1W,"Steeles West, L'Amoreaux West",43.7995252,-79.3183887
91,Scarborough,M1X,Upper Rouge,43.8361247,-79.2056361
92,West Toronto,M6H,"Dufferin, Dovercourt Village",43.6690051,-79.4422593
93,West Toronto,M6J,"Little Portugal, Trinity",43.6479267,-79.4197497
94,West Toronto,M6K,"Brockton, Parkdale Village, Exhibition Place",43.6368472,-79.4281914
95,West Toronto,M6P,"High Park, The Junction South",43.6616083,-79.4647633
96,West Toronto,M6R,"Parkdale, Roncesvalles",43.6489597,-79.456325
97,West Toronto,M6S,"Runnymede, Swansea",43.6515706,-79.4844499
98,York,M6C,Humewood-Cedarvale,43.6937813,-79.4281914
99,York,M6E,Caledonia-Fairbanks,43.6890256,-79.453512
100,York,M6M,"Del Ray, Mount Dennis, Keelsdale and Silverthorn",43.6911158,-79.4760133
101,York,M6N,"Runnymede, The Junction North",43.6731853,-79.4872619
102,York,M9N,Weston,43.706876,-79.5181884
