,postal_code,data,value
26,M9L,2021A0011M9L - Median total income in 2020 among recipients ($) - Rates - Total,31200.0
27,M1M,2021A0011M1M - Median total income in 2020 among recipients ($) - Rates - Total,37200.0
28,M2M,2021A0011M2M - Median total income in 2020 among recipients ($) - Rates - Total,34000.0
29,M3M,2021A0011M3M - Median total income in 2020 among recipients ($) - Rates - Total,35200.0
30,M4M,2021A0011M4M - Median total income in 2020 among recipients ($) - Rates - Total,49200.0
31,M5M,2021A0011M5M - Median total income in 2020 among recipients ($) - Rates - Total,62000.0
32,M6M,2021A0011M6M - Median total income in 2020 among recipients ($) - Rates - Total,34000.0
33,M9M,2021A0011M9M - Median total income in 2020 among recipients ($) - Rates - Total,34000.0
34,M1N,2021A0011M1N - Median total income in 2020 among recipients ($) - Rates - Total,44000.0
35,M2N,2021A0011M2N - Median total income in 2020 among recipients ($) - Rates - Total,40000.0
36,M3N,2021A0011M3N - Median total income in 2020 among recipients ($) - Rates - Total,29800.0
37,M4N,2021A0011M4N - Median total income in 2020 among recipients ($) - Rates - Total,65000.0
38,M5N,2021A0011M5N - Median total income in 2020 among recipients ($) - Rates - Total,50400.0
39,M6N,2021A0011M6N - Median total income in 2020 among recipients ($) - Rates - Total,34800.0
40,M9N,2021A0011M9N - Median total income in 2020 among recipients ($) - Rates - Total,35600.0
41,M1P,2021A0011M1P - Median total income in 2020 among recipients ($) - Rates - Total,33200.0
42,M2P,2021A0011M2P - Median total income in 2020 among recipients ($) - Rates - Total,51200.0
43,M4P,2021A0011M4P - Median total income in 2020 among recipients ($) - Rates - Total,47600.0
44,M5P,2021A0011M5P - Median total income in 2020 among recipients ($) - Rates - Total,56800.0
45,M6P,2021A0011M6P - Median total income in 2020 among recipients ($) - Rates - Total,48000.0
46,M9P,2021A0011M9P - Median total income in 2020 among recipients ($) - Rates - Total,41200.0
47,M1R,2021A0011M1R - Median total income in 2020 among recipients ($) - Rates - Total,34400.0
48,M2R,2021A0011M2R - Median total income in 2020 among recipients ($) - Rates - Total,33600.0
49,M4R,2021A0011M4R - Median total income in 2020 among recipients ($) - Rates - Total,58400.0
50,M5R,2021A0011M5R - Median total income in 2020 among recipients ($) - Rates - Total,54000.0
51,M6R,2021A0011M6R - Median total income in 2020 among recipients ($) - Rates - Total,53200.0
52,M9R,2021A0011M9R - Median total income in 2020 among recipients ($) - Rates - Total,36000.0
53,M1S,2021A0011M1S - Median total income in 2020 among recipients ($) - Rates - Total,31400.0
54,M4S,2021A0011M4S - Median total income in 2020 among recipients ($) - Rates - Total,54800.0
55,M5S,2021A0011M5S - Median total income in 2020 among recipients ($) - Rates - Total,42000.0
56,M6S,2021A0011M6S - Median total income in 2020 among recipients ($) - Rates - Total,56800.0
57,M1T,2021A0011M1T - Median total income in 2020 among recipients ($) - Rates - Total,31600.0
58,M4T,2021A0011M4T - Median total income in 2020 among recipients ($) - Rates - Total,67500.0
59,M5T,2021A0011M5T - Median total income in 2020 among recipients ($) - Rates - Total,31600.0
60,M1V,2021A0011M1V - Median total income in 2020 among recipients ($) - Rates - Total,28800.0
61,M4V,2021A0011M4V - Median total income in 2020 among recipients ($) - Rates - Total,62400.0
62,M5V,2021A0011M5V - Median total income in 2020 among recipients ($) - Rates - Total,63200.0
63,M8V,2021A0011M8V - Median total income in 2020 among recipients ($) - Rates - Total,45600.0
64,M9V,2021A0011M9V - Median total income in 2020 among recipients ($) - Rates - Total,31000.0
65,M1W,2021A0011M1W - Median total income in 2020 among recipients ($) - Rates - Total,31400.0
66,M4W,2021A0011M4W - Median total income in 2020 among recipients ($) - Rates - Total,62400.0
67,M8W,2021A0011M8W - Median total income in 2020 among recipients ($) - Rates - Total,45200.0
68,M9W,2021A0011M9W - Median total income in 2020 among recipients ($) - Rates - Total,34400.0
69,M1X,2021A0011M1X - Median total income in 2020 among recipients ($) - Rates - Total,34400.0
70,M4X,2021A0011M4X - Median total income in 2020 among recipients ($) - Rates - Total,33600.0
71,M8X,2021A0011M8X - Median total income in 2020 among recipients ($) - Rates - Total,68000.0
72,M8Y,2021A0011M8Y - Median total income in 2020 among recipients ($) - Rates - Total,48000.0
73,M8Z,2021A0011M8Z - Median total income in 2020 among recipients ($) - Rates - Total,51200.0
